
helo2,19-11-2023,one piece,5,20000.0,100000.0
helo2,19-11-2023,Conan,222,10000.0,2220000.0


helo4,27-11-2023,Doraemon,2,15000.0,30000.0

helo4,27-11-2023,conan,3,10000.0,30000.0

helo2,27-11-2023,Conan,2,10000.0,20000.0
helo2,27-11-2023,Conan,3,10000.0,30000.0

helo2,27-11-2023,Doraemon,3,15000.0,45000.0

helo2,27-11-2023,Conan,3,10000.0,30000.0
helo2,27-11-2023,Doraemon,5,15000.0,75000.0

helo2,03-12-2023,Conan,3,10000.0,30000.0

helo2,03-12-2023,Conan,10,10000.0,100000.0

helo2,04-12-2023,Hoc JAVA,2,90000.0,180000.0

helo2,04-12-2023,Hoc Python,4,90000.0,360000.0
